"name","category","stream_url","is_premium","is_active"
"27 TwentySeven [Geo-blocked]","Movies;Series","https://live2.msf.cdn.mediaset.net/content/hls_h0_cls_vos/live/channel(ts)/index.m3u8","false","true"
"30A TV Classic Movies","Movies","https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8","false","true"
"70s Cinema","Movies","https://jmp2.uk/plu-5f4d878d3d19b30007d2e782.m3u8","false","true"
"80s Rewind","Movies","https://jmp2.uk/plu-5ca525b650be2571e3943c63.m3u8","false","true"
"90s Throwback","Movies","https://jmp2.uk/plu-5f4d86f519358a00072b978e.m3u8","false","true"
"312 ÐšÐ¸Ð½Ð¾ (406p)","Movies","http://176.126.166.43:1935/live/312kino/playlist.m3u8","false","true"
"&flix HD (1080p)","Movies","http://116.90.120.151:8000/play/a0il/index.m3u8","false","true"
"&pictures HD (1080p)","Movies","http://103.229.254.25:7001/play/a033/index.m3u8","false","true"
"&prive HD (1080p)","Movies","http://116.90.120.151:8000/play/a0it/index.m3u8","false","true"
"&TV (576p)","Movies","http://103.229.254.25:7001/play/a09v/index.m3u8","false","true"
"&TV HD (1080p)","Movies","http://103.229.254.25:7001/play/a034/index.m3u8","false","true"
"&TV International (1080p)","Movies","https://amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv/playlist/amg01117-amg01117c1-amgplt0029/playlist.m3u8","false","true"
"@TV (720p)","Movies;Series","http://49.0.87.24:1936/HDAttv/Attv/playlist.m3u8","false","true"
"ABN Bible Movies (720p)","Movies;Religious","https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8","false","true"
"Abzy Dhakad (504p)","Movies","https://d2lk5u59tns74c.cloudfront.net/out/v1/4fe6ab07a13543d6bdb2ec63b3e2df44/index.m3u8","false","true"
"Abzy Movies (480p)","Movies","https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/db8d4eca72d64748a00d0631debf542d/index.m3u8","false","true"
"Action 24 (1080p)","Movies","http://actionlive.siliconweb.com/actionabr/actiontv/playlist.m3u8","false","true"
"Adrenalina Pura TV","Movies","https://jmp2.uk/plu-61b790b985706b00072cb797.m3u8","false","true"
"Afghan Nobel Movies (720p)","Movies","https://live.relentlessinnovations.net:1936/afghannobel/afghannobel/playlist.m3u8","false","true"
"Aflam (1080p)","Movies","https://shls-live-enc.edgenextcdn.net/out/v1/0044dd4b001a466c941ad77b04a574a2/index.m3u8","false","true"
"Afra Film","Movies","https://afrafhls.wns.live/hls/stream.m3u8","false","true"
"Afriwood Blockbuster (720p)","Movies","https://streamdot.broadpeak.io/cff02a74da64d145c102a2d012758398/afxpstr/AfriwoodBlockbuster/index.m3u8","false","true"
"Alankar TV (720p)","Movies","https://livetv.tarangplus.in/alankar-origin/live/playlist.m3u8","false","true"
"Alfa Dramas (226p) [Not 24/7]","Movies","https://www.hellasnet.tv/rest2.live.hn/w2r.alf/playlist.m3u8","false","true"
"Alien Nation by DUST (1080p)","Movies","https://dqi7ayt2o24fn.cloudfront.net/playlist.m3u8","false","true"
"All Time Movies (576p)","Movies","https://mumt03.tangotv.in/ALLTIMEMOVIES/index.m3u8","false","true"
"alpha Cinema (1080p)","Comedy;Family;Movies","https://live.15plusmg.ru/memfs/b389173a-df4e-4171-8904-e249893e71eb.m3u8","false","true"
"alpha Moretime (1080p)","Comedy;Movies","https://live.15plusmg.ru/memfs/3546fc09-2eba-459d-9a1f-9a2fc39e50bd.m3u8","false","true"
"Alterna TV (720p) [Not 24/7]","Culture;Documentary;Entertainment;General;Movies;Music","https://tv.alterna.ar/stream/hls/live.m3u8","false","true"
"Amedia Hit","Movies;Series","http://31.148.48.15/Amedia_HIT_HD/index.m3u8","false","true"
